id,platform,repo_name,region
16184957,gitee,openharmony/arkui_ace_engine,China
10919030,gitee,openharmony/docs,China
8649239,gitee,mindspore/mindspore,China
16184969,gitee,openharmony/graphic_graphic_2d,China
19831219,gitee,openharmony/window_window_manager,China
11218621,gitee,openharmony/xts_acts,China
17812931,gitee,openharmony/arkcompiler_ets_runtime,China
16184960,gitee,openharmony/communication_dsoftbus,China
7696525,gitee,openeuler/kernel,China
20740755,gitee,mindspore/mindformers,China
16184977,gitee,openharmony/interface_sdk-js,China
17812929,gitee,openharmony/arkcompiler_runtime_core,China
10088393,gitee,opengauss/openGauss-server,China
17812932,gitee,openharmony/arkcompiler_ets_frontend,China
16596697,gitee,ascend/pytorch,
16184971,gitee,openharmony/multimedia_audio_framework,China
16184956,gitee,openharmony/ability_ability_runtime,China
28274476,gitee,ascend/mstt,
16999904,gitee,openharmony/multimedia_media_library,China
18989735,gitee,anolis/cloud-kernel,China
29016008,gitee,openharmony/multimedia_av_codec,China
28045837,gitee,ascend/msit,
17665824,gitee,wind_invade/chapter_reader,
16184976,gitee,openharmony/multimodalinput_input,China
30585164,gitee,openharmony-tpc/chromium_src,
7696593,gitee,src-openeuler/kernel,China
20839154,gitee,openharmony/web_webview,China
9110275,gitee,ascend/samples,
6700375,gitee,openeuler/community,China
30246311,gitee,openharmony/interface_sdk_c,China
15261243,gitee,openharmony/drivers_peripheral,China
18793892,gitee,openharmony/filemanagement_dfs_service,China
8661291,gitee,mindspore/docs,China
16184959,gitee,openharmony/bundlemanager_bundle_framework,China
16184975,gitee,openharmony/multimedia_player_framework,China
18725702,gitee,openharmony/security_selinux_adapter,China
16999917,gitee,openharmony/multimedia_image_framework,China
7997120,gitee,opengauss/docs,China
16184963,gitee,openharmony/communication_wifi,China
31018038,gitee,openeuler/cantian,China
16184951,gitee,openharmony/build,China
16184973,gitee,openharmony/multimedia_camera_framework,China
24108896,gitee,openharmony/distributeddatamgr_relational_store,China
16894377,gitee,opengauss/practice-course,China
16611665,gitee,openeuler/mugen,China
16184944,gitee,openharmony/telephony_core_service,China
16184962,gitee,openharmony/communication_ipc,China
19862149,gitee,openharmony/security_access_token,China
4440334,gitee,marsgis/mars3d,
37381651,gitee,kwdb/kwdb,China
14771825,gitee,zuohuaijun/Admin.NET,
8662051,gitee,mindspore/community,China
18793888,gitee,openharmony/filemanagement_storage_service,China
16184932,gitee,openharmony/hiviewdfx_hiview,China
16184964,gitee,openharmony/distributeddatamgr_datamgr_service,China
16184920,gitee,openharmony/account_os_account,China
11100912,gitee,ascend/tensorflow,
16184939,gitee,openharmony/startup_appspawn,China
20086181,gitee,openharmony/communication_netmanager_base,China
24108911,gitee,openharmony/distributeddatamgr_kv_store,China
10098083,gitee,openeuler/qemu,China
18562896,gitee,opengauss/Yat,China
16815522,gitee,opengauss/Plugin,China
16195886,gitee,openharmony/applications_app_samples,China
23624892,gitee,openharmony-sig/arkcompiler_ets_frontend,China
20074047,gitee,openharmony/distributeddatamgr_pasteboard,China
11218556,gitee,openharmony/startup_init,China
23745149,gitee,openeuler/openEuler-portal,China
17683301,gitee,openharmony/developtools_ace_ets2bundle,China
20118341,gitee,openharmony/resourceschedule_resource_schedule_service,China
17566525,gitee,openharmony/commonlibrary_ets_utils,China
6982279,gitee,y_project/RuoYi-Vue,
6634686,gitee,openeuler/docs,China
24032203,gitee,opengauss/openGauss-workbench,China
30585300,gitee,openharmony-tpc/chromium_third_party,
16921579,gitee,openharmony/notification_distributed_notification_service,China
16815058,gitee,openharmony/distributedhardware_device_manager,China
22346912,gitee,openharmony/multimedia_av_session,China
24470057,gitee,ubml/farris-vue,China
18106716,gitee,openharmony-tpc/openharmony_tpc_samples,
16184941,gitee,openharmony/telephony_call_manager,China
16184937,gitee,openharmony/powermgr_power_manager,China
19832058,gitee,openharmony/third_party_skia,China
17957354,gitee,openeuler/yocto-meta-openeuler,China
11218597,gitee,openharmony/third_party_musl,China
18389381,gitee,openharmony/vendor_unionman,China
14905058,gitee,cann/acl,
29119262,gitee,openharmony/resourceschedule_ffrt,China
9576818,gitee,openeuler/release-management,China
24297357,gitee,openharmony-sig/tpc_c_cplusplus,China
18333142,gitee,openharmony/inputmethod_imf,China
14906648,gitee,mindspore/mindquantum,China
23995969,gitee,openkylin/qa,China
17620154,gitee,mindspore/mindscience,China
16184949,gitee,openharmony/update_updater,China
18793883,gitee,openharmony/filemanagement_app_file_service,China
11218545,gitee,openharmony/security_huks,China
15383196,gitee,openharmony/communication_bluetooth,China
16185049,gitee,openharmony/global_system_resources,China
22974263,gitee,openharmony/ability_form_fwk,China
19195105,gitee,anolis/community,China
16184953,gitee,openharmony/developtools_hdc,China
11624756,gitee,openeuler/stratovirt,China
7816002,gitee,openLuat/LuatOS,
35805331,gitee,openharmony-sig/arkanalyzer,China
164748,gitee,dromara/hutool,
31829836,gitee,openeuler/cantian-connector-mysql,China
16184925,gitee,openharmony/hiviewdfx_faultloggerd,China
30958788,gitee,openharmony-sig/flutter_flutter,China
30958783,gitee,openharmony-sig/flutter_engine,China
19596810,gitee,openharmony/drivers_interface,China
23624869,gitee,openharmony/arkcompiler_toolchain,China
22429328,gitee,openkylin/ukui-control-center,China
32603912,gitee,openeuler/qingzhou,China
31674268,gitee,openharmony/graphic_graphic_surface,China
14559056,gitee,ascend/mindxsdk-referenceapps,
8049287,gitee,dromara/RuoYi-Vue-Plus,
27439895,gitee,yudaocode/yudao-ui-admin-vue3,
16184954,gitee,openharmony/developtools_profiler,China
3116848,gitee,y_project/RuoYi,
20074046,gitee,openharmony/print_print_fwk,China
18917678,gitee,openharmony/communication_netstack,China
17327349,gitee,openharmony/third_party_llvm-project,China
22764390,gitee,anolis/anolis-sys-tests,China
11218435,gitee,openharmony/drivers_hdf_core,China
16184966,gitee,openharmony/ability_dmsfwk,China
37484825,gitee,openharmony-sig/ohos_react_native,China
20889430,gitee,openeuler/gazelle,China
16184958,gitee,openharmony/arkui_napi,China
30585044,gitee,openharmony-tpc/chromium_cef,
20641696,gitee,openharmony/msdp_device_status,China
27808190,gitee,mybatis-flex/mybatis-flex,
18640497,gitee,openharmony/accessibility,China
19788411,gitee,openharmony/xts_hats,China
16184968,gitee,openharmony/systemabilitymgr_samgr,China
21087338,gitee,openharmony-sig/interface_native_header,China
36609386,gitee,openharmony-sig/vendor_hardmony,China
17535911,gitee,openharmony/telephony_cellular_data,China
36609373,gitee,openharmony-sig/device_soc_spreadtrum,China
17692296,gitee,openharmony/kernel_linux_5.10,China
21269399,gitee,openharmony/base_location,China
20130370,gitee,openharmony/useriam_user_auth_framework,China
2905712,gitee,thinkgem/jeesite5,
2529861,gitee,log4j/pig,
5715659,gitee,opensolon/solon,China
22429449,gitee,openkylin/peony,China
16815045,gitee,openharmony/usb_usb_manager,China
25902802,gitee,opengauss/DSS,China
18360702,gitee,layui-vue/layui-vue,
19809686,gitee,openharmony/deviceprofile_device_info_manager,China
18716444,gitee,openkylin/community,China
28380327,gitee,openeuler/env_check,China
12681770,gitee,opengauss/openGauss-OM,China
11218544,gitee,openharmony/security_device_auth,China
30925181,gitee,dromara/warm-flow,
20713043,gitee,openharmony/customization_enterprise_device_management,China
3073437,gitee,smallweigit/avue,
16184923,gitee,openharmony/global_resource_management,China
2266417,gitee,dromara/liteFlow,
11226507,gitee,openharmony/manifest,China
19788457,gitee,openharmony/xts_dcts,China
13538386,gitee,zhijiantianya/ruoyi-vue-pro,
23353046,gitee,cxasm/notepad--,
12546865,gitee,ascend/ascend-deployer,
24768762,gitee,openeuler/gala-gopher,China
20074048,gitee,openharmony/request_request,China
16184922,gitee,openharmony/global_i18n,China
20086184,gitee,openharmony/communication_netmanager_ext,China
30958778,gitee,openharmony-sig/flutter_samples,China
21442454,gitee,openharmony-tpc/ImageKnife,
28735612,gitee,aizuda/snail-job,
25548482,gitee,openkylin/community-management,China
5324444,gitee,zhijiantianya/yudao-cloud,
22429411,gitee,openkylin/ukui-panel,China
29579090,gitee,openharmony/communication_bluetooth_service,China
20947301,gitee,openharmony-tpc/lottieArkTS,
18793879,gitee,openharmony/filemanagement_file_api,China
16487781,gitee,dromara/RuoYi-Cloud-Plus,
17099473,gitee,openharmony/third_party_ffmpeg,China
20945760,gitee,opengauss/CM,China
17989929,gitee,openharmony/communication_nfc,China
20634055,gitee,openharmony/third_party_typescript,China
16184933,gitee,openharmony/time_time_service,China
36609383,gitee,openharmony-sig/device_board_hardmony,China
30567495,gitee,openeuler/secscanner,China
35757555,gitee,openeuler/euler-copilot-framework,China
1507207,gitee,Discuz/DiscuzX,
20945818,gitee,opengauss/CBB,China
30958774,gitee,openharmony-sig/flutter_packages,China
14259930,gitee,rtthread/docs-online,
29081856,gitee,openharmony/distributeddatamgr_udmf,China
16184974,gitee,openharmony/multimedia_media_foundation,China
25902776,gitee,opengauss/DMS,China
17957353,gitee,openeuler/yocto-embedded-tools,China
17105384,gitee,openeuler/gcc,China
27692271,gitee,aizuda/flowlong,
9313139,gitee,y_project/RuoYi-Cloud,
23223965,gitee,OpenCloudOS/OpenCloudOS-Kernel,
13725630,gitee,ascend/ascend-for-volcano,
33478891,gitee,src-openeuler/sysSentry,China
28861268,gitee,yudaocode/yudao-mall-uniapp,
20345477,gitee,openharmony/distributedhardware_distributed_hardware_fwk,China
9159413,gitee,openeuler/QA,China
16184890,gitee,openharmony/applications_hap,China
33761492,gitee,openharmony/multimedia_image_effect,China
17961972,gitee,openeuler/openeuler-docker-images,China
