id,platform,repo_name,company
16184957,gitee,openharmony/arkui_ace_engine,Huawei
10919030,gitee,openharmony/docs,Huawei
8649239,gitee,mindspore/mindspore,Huawei
16184969,gitee,openharmony/graphic_graphic_2d,Huawei
19831219,gitee,openharmony/window_window_manager,Huawei
11218621,gitee,openharmony/xts_acts,Huawei
17812931,gitee,openharmony/arkcompiler_ets_runtime,Huawei
16184960,gitee,openharmony/communication_dsoftbus,Huawei
7696525,gitee,openeuler/kernel,Huawei
20740755,gitee,mindspore/mindformers,Huawei
16184977,gitee,openharmony/interface_sdk-js,Huawei
17812929,gitee,openharmony/arkcompiler_runtime_core,Huawei
10088393,gitee,opengauss/openGauss-server,Huawei
17812932,gitee,openharmony/arkcompiler_ets_frontend,Huawei
16596697,gitee,ascend/pytorch,
16184971,gitee,openharmony/multimedia_audio_framework,Huawei
16184956,gitee,openharmony/ability_ability_runtime,Huawei
28274476,gitee,ascend/mstt,
16999904,gitee,openharmony/multimedia_media_library,Huawei
18989735,gitee,anolis/cloud-kernel,Alibaba
29016008,gitee,openharmony/multimedia_av_codec,Huawei
28045837,gitee,ascend/msit,
17665824,gitee,wind_invade/chapter_reader,
16184976,gitee,openharmony/multimodalinput_input,Huawei
30585164,gitee,openharmony-tpc/chromium_src,
7696593,gitee,src-openeuler/kernel,Huawei
20839154,gitee,openharmony/web_webview,Huawei
9110275,gitee,ascend/samples,
6700375,gitee,openeuler/community,Huawei
30246311,gitee,openharmony/interface_sdk_c,Huawei
15261243,gitee,openharmony/drivers_peripheral,Huawei
18793892,gitee,openharmony/filemanagement_dfs_service,Huawei
8661291,gitee,mindspore/docs,Huawei
16184959,gitee,openharmony/bundlemanager_bundle_framework,Huawei
16184975,gitee,openharmony/multimedia_player_framework,Huawei
18725702,gitee,openharmony/security_selinux_adapter,Huawei
16999917,gitee,openharmony/multimedia_image_framework,Huawei
7997120,gitee,opengauss/docs,Huawei
16184963,gitee,openharmony/communication_wifi,Huawei
31018038,gitee,openeuler/cantian,Huawei
16184951,gitee,openharmony/build,Huawei
16184973,gitee,openharmony/multimedia_camera_framework,Huawei
24108896,gitee,openharmony/distributeddatamgr_relational_store,Huawei
16894377,gitee,opengauss/practice-course,Huawei
16611665,gitee,openeuler/mugen,Huawei
16184944,gitee,openharmony/telephony_core_service,Huawei
16184962,gitee,openharmony/communication_ipc,Huawei
19862149,gitee,openharmony/security_access_token,Huawei
4440334,gitee,marsgis/mars3d,
37381651,gitee,kwdb/kwdb,Inspur
14771825,gitee,zuohuaijun/Admin.NET,
8662051,gitee,mindspore/community,Huawei
18793888,gitee,openharmony/filemanagement_storage_service,Huawei
16184932,gitee,openharmony/hiviewdfx_hiview,Huawei
16184964,gitee,openharmony/distributeddatamgr_datamgr_service,Huawei
16184920,gitee,openharmony/account_os_account,Huawei
11100912,gitee,ascend/tensorflow,
16184939,gitee,openharmony/startup_appspawn,Huawei
20086181,gitee,openharmony/communication_netmanager_base,Huawei
24108911,gitee,openharmony/distributeddatamgr_kv_store,Huawei
10098083,gitee,openeuler/qemu,Huawei
18562896,gitee,opengauss/Yat,Huawei
16815522,gitee,opengauss/Plugin,Huawei
16195886,gitee,openharmony/applications_app_samples,Huawei
23624892,gitee,openharmony-sig/arkcompiler_ets_frontend,Huawei
20074047,gitee,openharmony/distributeddatamgr_pasteboard,Huawei
11218556,gitee,openharmony/startup_init,Huawei
23745149,gitee,openeuler/openEuler-portal,Huawei
17683301,gitee,openharmony/developtools_ace_ets2bundle,Huawei
20118341,gitee,openharmony/resourceschedule_resource_schedule_service,Huawei
17566525,gitee,openharmony/commonlibrary_ets_utils,Huawei
6982279,gitee,y_project/RuoYi-Vue,
6634686,gitee,openeuler/docs,Huawei
24032203,gitee,opengauss/openGauss-workbench,Huawei
30585300,gitee,openharmony-tpc/chromium_third_party,
16921579,gitee,openharmony/notification_distributed_notification_service,Huawei
16815058,gitee,openharmony/distributedhardware_device_manager,Huawei
22346912,gitee,openharmony/multimedia_av_session,Huawei
24470057,gitee,ubml/farris-vue,
18106716,gitee,openharmony-tpc/openharmony_tpc_samples,
16184941,gitee,openharmony/telephony_call_manager,Huawei
16184937,gitee,openharmony/powermgr_power_manager,Huawei
19832058,gitee,openharmony/third_party_skia,Huawei
17957354,gitee,openeuler/yocto-meta-openeuler,Huawei
11218597,gitee,openharmony/third_party_musl,Huawei
18389381,gitee,openharmony/vendor_unionman,Huawei
14905058,gitee,cann/acl,
29119262,gitee,openharmony/resourceschedule_ffrt,Huawei
9576818,gitee,openeuler/release-management,Huawei
24297357,gitee,openharmony-sig/tpc_c_cplusplus,Huawei
18333142,gitee,openharmony/inputmethod_imf,Huawei
14906648,gitee,mindspore/mindquantum,Huawei
23995969,gitee,openkylin/qa,openKylin
17620154,gitee,mindspore/mindscience,Huawei
16184949,gitee,openharmony/update_updater,Huawei
18793883,gitee,openharmony/filemanagement_app_file_service,Huawei
11218545,gitee,openharmony/security_huks,Huawei
15383196,gitee,openharmony/communication_bluetooth,Huawei
16185049,gitee,openharmony/global_system_resources,Huawei
22974263,gitee,openharmony/ability_form_fwk,Huawei
19195105,gitee,anolis/community,Alibaba
16184953,gitee,openharmony/developtools_hdc,Huawei
11624756,gitee,openeuler/stratovirt,Huawei
7816002,gitee,openLuat/LuatOS,
35805331,gitee,openharmony-sig/arkanalyzer,Huawei
164748,gitee,dromara/hutool,
31829836,gitee,openeuler/cantian-connector-mysql,Huawei
16184925,gitee,openharmony/hiviewdfx_faultloggerd,Huawei
30958788,gitee,openharmony-sig/flutter_flutter,Huawei
30958783,gitee,openharmony-sig/flutter_engine,Huawei
19596810,gitee,openharmony/drivers_interface,Huawei
23624869,gitee,openharmony/arkcompiler_toolchain,Huawei
22429328,gitee,openkylin/ukui-control-center,openKylin
32603912,gitee,openeuler/qingzhou,Huawei
31674268,gitee,openharmony/graphic_graphic_surface,Huawei
14559056,gitee,ascend/mindxsdk-referenceapps,
8049287,gitee,dromara/RuoYi-Vue-Plus,
27439895,gitee,yudaocode/yudao-ui-admin-vue3,
16184954,gitee,openharmony/developtools_profiler,Huawei
3116848,gitee,y_project/RuoYi,
20074046,gitee,openharmony/print_print_fwk,Huawei
18917678,gitee,openharmony/communication_netstack,Huawei
17327349,gitee,openharmony/third_party_llvm-project,Huawei
22764390,gitee,anolis/anolis-sys-tests,Alibaba
11218435,gitee,openharmony/drivers_hdf_core,Huawei
16184966,gitee,openharmony/ability_dmsfwk,Huawei
37484825,gitee,openharmony-sig/ohos_react_native,Huawei
20889430,gitee,openeuler/gazelle,Huawei
16184958,gitee,openharmony/arkui_napi,Huawei
30585044,gitee,openharmony-tpc/chromium_cef,
20641696,gitee,openharmony/msdp_device_status,Huawei
27808190,gitee,mybatis-flex/mybatis-flex,
18640497,gitee,openharmony/accessibility,Huawei
19788411,gitee,openharmony/xts_hats,Huawei
16184968,gitee,openharmony/systemabilitymgr_samgr,Huawei
21087338,gitee,openharmony-sig/interface_native_header,Huawei
36609386,gitee,openharmony-sig/vendor_hardmony,Huawei
17535911,gitee,openharmony/telephony_cellular_data,Huawei
36609373,gitee,openharmony-sig/device_soc_spreadtrum,Huawei
17692296,gitee,openharmony/kernel_linux_5.10,Huawei
21269399,gitee,openharmony/base_location,Huawei
20130370,gitee,openharmony/useriam_user_auth_framework,Huawei
2905712,gitee,thinkgem/jeesite5,
2529861,gitee,log4j/pig,
5715659,gitee,opensolon/solon,
22429449,gitee,openkylin/peony,openKylin
16815045,gitee,openharmony/usb_usb_manager,Huawei
25902802,gitee,opengauss/DSS,Huawei
18360702,gitee,layui-vue/layui-vue,
19809686,gitee,openharmony/deviceprofile_device_info_manager,Huawei
18716444,gitee,openkylin/community,openKylin
28380327,gitee,openeuler/env_check,Huawei
12681770,gitee,opengauss/openGauss-OM,Huawei
11218544,gitee,openharmony/security_device_auth,Huawei
30925181,gitee,dromara/warm-flow,
20713043,gitee,openharmony/customization_enterprise_device_management,Huawei
3073437,gitee,smallweigit/avue,
16184923,gitee,openharmony/global_resource_management,Huawei
2266417,gitee,dromara/liteFlow,
11226507,gitee,openharmony/manifest,Huawei
19788457,gitee,openharmony/xts_dcts,Huawei
13538386,gitee,zhijiantianya/ruoyi-vue-pro,
23353046,gitee,cxasm/notepad--,
